Adam 	﻿A Dong 
Everyone of us 	Mỗi người trong chúng ta 
Each year, every year 	Mỗi năm 
Once every six months 	Mỗi sáu tháng một lần 
Each, every month 	Mỗi tháng 
Every, each week 	Mỗi tuần 
Nonetheless 	Mỗi tội 
Every evening, every night 	Mỗi đêm 
Every person, every one 	Mỗi đứa 
1 grave, tomb; 2 to love, admire, be fond of, be a follower of; 3 to recruit soliders 	Mộ 
Tombstone, gravestone 	Mộ bia 
To recruit soldiers 	Mộ binh 
Tombstone, headstone 	Mộ chí 
Honor the fame of, be a great admirer of 	Mộ danh 
Tomb, grave 	Mộ phần 
Devout 	Mộ đạo 
Graveyard 	Mộ địa 
Stamp, seal; unlacquered, unvarnished, unbleached 	Mộc 
Wood-block 	Mộc bản 
The wood-blocks of folk woodcuts 	Mộc bản tranh dân gian 
Clean joss statues 	Mộc dục 
Cangue 	Mộc già 
Medicinal wood 	Mộc hương 
Dendrology 	Mộc học 
Magnolia 	Mộc lan 
Plain, simple, unaffected, natural 	Mộc mạc 
Jew’s ear 	Mộc nhĩ 
Wood and stone 	Mộc thạch 
Jupiter 	Mộc tinh 
Horsetail 	Mộc tặc 
1 dream; 2 sprout; 3 film; 4 fat 	Mộng 
To sleepwalk 	Mộng du 
Imagination 	Mộng hồn 
Dream 	Mộng mơ 
Dreamlike 	Mộng mị 
Nocturnal emission, wet dream 	Mộng tinh 
Omen seen in a dream 	Mộng triệu 
Dream 	Mộng tưởng 
Vision, illusion; visionary, unreal 	Mộng ảo 
One; a, an 	Một 
One U.S. dollar costs 70 dong 	Một Mỹ kim ăn 70 đồng 
A bag of rice 	Một bao gạo 
A pack of cigarettes 	Một bao thuốc lá 
An afternoon 	Một buổi chiều 
A lesson 	Một bài học 
A bar, cake of soap 	Một bánh xà phòng 
A bowlful of rice 	Một bát cơm 
Beach 	Một bãi cát 
One side 	Một bên 
A bouquet of flowers 	Một bó hoa 
Shadow of a person, outline of a person 	Một bóng người 
A step 	Một bước 
A step forward 	Một bước tiến 
Slip, hit on someone’s ear 	Một bạt tai 
A treaty 	Một bản hiệp ước 
An official report, statement 	Một bản tin chính thức 
A piece of music 	Một bản đàn 
A surprise, something unexpected 	Một bất ngờ 
A friendly atmosphere 	Một bầu không khí thân thiện 
A great man 	Một bậc vĩ nhân 
A loyal subject 	Một bề tôi trung thành 
Crowd, group, gang 	Một bọn 
A beard 	Một bộ râu 
A picture, image 	Một bức ảnh 
A meal 	Một bữa ăn 
A bottle of whisky 	Một chai huýt ky 
An anti-alcohol program 	Một chiến dịch chống rượu 
One-way, direct current 	Một chiều 
Expert, specialist 	Một chuyên viên 
A thing, an issue, something 	Một chuyện 
Something else 	Một chuyện khác 
Something strange, funny story 	Một chuyện lạ 
Strange story, strange situation 	Một chuyện lạ lùng 
Something like this 	Một chuyện như vậy 
Something important 	Một chuyện quan trọng 
Something very easy to do 	Một chuyện rất dễ làm 
Something very important, a very important matter 	Một chuyện rất quan trọng 
A matter of life or death 	Một chuyện sinh tử 
A bunch of grapes 	Một chùm nho 
A little, a tiny bit, a short while, moment, instant 	Một chút 
A grain of comfort 	Một chút an ủi 
A little more 	Một chút nữa 
A moment, a little bit of time 	Một chút thì giờ 
A little bit of time 	Một chút thời giờ 
A little, a tiny bit 	Một chút xíu 
Just one more little thing about ~ 	Một chút xíu nữa thôi về 
The eleventh and the twelfth lunar months, the end of the year 	Một chạp 
A little while 	Một chặp 
A little white later 	Một chặp sau 
An instant 	Một chốc 
A place, one location 	Một chỗ 
A group of ten 	Một chục 
A person 	Một con người 
A simple, unaffected person 	Một con người giản dị 
A different kind of person 	Một con người khác 
Another way, another path 	Một con đường khác 
A book 	Một cuốn sách 
A very thick book 	Một cuốn sách khá dày 
A telephone conversation 	Một cuộc nói chuyện qua điện thoại 
A military attack 	Một cuộc tấn công quân sự 
In a ~ manner, ~ly 	Một cách 
Safely, securely 	Một cách an toàn 
Illegally, in an illegal manner 	Một cách bất hợp pháp 
Unexpectedly 	Một cách bất ngờ 
Professionally 	Một cách chuyên nghiệp 
Systematically 	Một cách có hệ thống 
Planned, premeditated 	Một cách có tổ chức 
Gracefully 	Một cách dịu dàng 
Legally, legitimately 	Một cách hợp pháp 
Efficiently 	Một cách hữu hiệu 
In an unusual, extraordinary way 	Một cách khác thường 
Impatiently 	Một cách không kiên nhẫn 
Continuously 	Một cách liên tục 
In a long-term manner 	Một cách lâu bền 
Politely 	Một cách lịch sự 
Quickly 	Một cách nhanh chóng 
Nicely, obligingly 	Một cách nhoan ngoãn 
Expertly 	Một cách thành thạo 
Manner, way, form, pattern 	Một cách thức 
Nicely, properly 	Một cách đàng hoàng 
Considerably 	Một cách đáng kể 
Once, one time, one thing 	Một cái 
Something 	Một cái gì 
Something 	Một cái gì đó 
A stick that long 	Một cái gậy bây dai 
A thing called 	Một cái gọi là 
A hole 	Một cái lỗ 
A very deep hole 	Một cái lỗ sâu hoắm 
Machine 	Một cái máy 
A new one 	Một cái mới 
Vision, a way of looking at sth 	Một cái nhìn 
One more, once more 	Một cái nữa 
A corpse 	Một cái thây ma 
Pleasure, delight 	Một cái thú 
Phrase, sentence 	Một câu 
Story, tale 	Một câu chuyện 
A question 	Một câu hỏi 
Phrase, sentence, statement, utterance 	Một câu nói 
A gun 	Một cây súng 
A 100% foreign-owned company 	Một công ty vốn 100% của ngoại quốc 
Kill two birds with one stone 	Một công đôi việc 
A phone call 	Một cú phôn 
A telephone call 	Một cú điện thoại 
Asthma attack 	Một cơn hen 
A feeling 	Một cảm giác 
A terrible scene 	Một cảnh tượng hãi hùng 
A strange sight 	Một cảnh tượng kỳ dị 
A couple 	Một cặp 
A pair of long legs 	Một cặp dò dài 
A pair of eyes 	Một cặp mắt 
Deck of playing cards 	Một cỗ bài 
A powerful nation 	Một dân tộc đầy sức sống 
For a time, for some time 	Một dạo 
An order, decree 	Một dạo nghị định 
A good sign 	Một dấu hiệu tốt 
An aristocratic family 	Một gia đình quý tộc 
One more hour 	Một giò nữa 
Blood is thicker than water 	Một giọt máu đào hơn ao nước lã 
One o’clock, one hour 	Một giờ 
1:30, one thirty 	Một giờ rưỡi 
An example, model for other people 	Một gương mẫu cho những người khác 
One or two, a few 	Một hai 
Once or twice 	Một hai bận 
A relatively rare phenomenon 	Một hiện tượng tương đối hiếm hoi 
To be done in one trip, one pass 	Một hiệp là xong 
One day 	Một hôm 
In a row, at a stretch 	Một hơi 
Once 	Một khi 
Knowledge is power 	Một kho vàng không bằng một nang chữ 
A case of beer 	Một két bia 
Guy, person 	Một kẻ 
Killer, assassin 	Một kẻ giết mướn 
A plan 	Một kế 
A plan 	Một kế hoạch 
A series 	Một loạt 
A series of bombs 	Một loạt bom 
A series of problems 	Một loạt vấn đề 
Lawyer 	Một luật sư 
A cup of coffee 	Một ly cà phê 
For a moment, short while 	Một lát 
A little later 	Một lát sau 
At a stretch, at one sitting 	Một lèo 
Whole-heartedly 	Một lòng 
For a moment, instant, short while 	Một lúc 
A long moment 	Một lúc lâu 
A moment later 	Một lúc sau 
One reason, a reason 	Một lý do 
Another reason 	Một lý do khác 
Another reason is 	Một lý do khác là 
At once, at the same time 	Một lượt 
Once, at the same time, simultaneously 	Một lần 
Once and for all 	Một lần cho xong 
A final time, one last time 	Một lần chót 
One last time 	Một lần cuối cùng 
Another time, on another occasion 	Một lần khác 
Once again, one more time 	Một lần nữa 
A hole big enough for a person to fit through 	Một lỗ người chui lọt 
A layer of snow 	Một lớp tuyết 
A word 	Một lời 
A promise 	Một lời hứa 
A piece of advice, a word of advice 	Một lời khuyên 
Promise is debt 	Một lời nói, một đọi máu 
An empty apology 	Một lời xin lỗi suông 
One day, one of these days 	Một mai 
A small piece of land 	Một miếng đất nhỏ 
When three know, all know it 	Một miệng thì kín, chín miệng thì hở 
Alone, by oneself, solitary, single-handed, solo, on one’s own 	Một mình 
At one go, at one stretch, at a one sitting 	Một mạch 
All-out struggle, life-and-death struggle 	Một mất một còn 
One link broken, the whole chain is broken 	Một mắt xích bung làm đứt tung dây xích 
On the one hand 	Một mặt 
A bird in the hand is worth two in the bush 	Một mặt hơn mười gói 
An important aspect, part 	Một mặt quan trọng 
On one hand ~ on the other hand ~ 	Một mặt ~ một mặt khác ~ 
Be in for 	Một mẻ 
A scare 	Một mẻ sợ 
A theft, a burglary 	Một mẻ trộm 
A military threat 	Một mối đe dọa về quân sự 
A lot, a bunch, a set, a group 	Một mớ 
Mish-mash, hodge-podge 	Một mớ hỗn tạp 
A lot of time, a bunch of time 	Một mớ thì giờ 
A set of automobile tires 	Một mớ vỏ xe 
To persist, insist; steadfastly, persistently 	Một mực 
A different occupation 	Một nghề khác 
A safe investment 	Một nguồn đầu tư an toàn 
A black gentleman 	Một ngài da đen 
A day 	Một ngày 
One day 	Một ngày kia 
Work day, working day 	Một ngày lao động 
Increase day by day 	Một ngày một tăng thêm 
A day like today 	Một ngày như ngày hôm nay 
Someday 	Một ngày nào đó 
One more day 	Một ngày nữa 
A day passes, a day goes by 	Một ngày qua đi 
A day after something 	Một ngày sau khi 
One day before, a day earlier 	Một ngày trước đó 
A snug little house 	Một ngôi nhà nhỏ ấm cúng 
A person 	Một người 
An American 	Một người Mỹ 
A friend 	Một người bạn 
An old friend 	Một người bạn cũ 
A girl, a woman 	Một người con gái 
A policeman 	Một người cảnh sát 
Another person 	Một người khác 
A stranger 	Một người lạ 
Someone else, a third party 	Một người thứ ba 
A suspect in a crime 	Một người tình nghi 
A refugee 	Một người tị nạn 
Political refugee 	Một người tị nạn chánh trị 
A person without a care in the world 	Một người vô sự 
A wife 	Một người vợ 
A woman 	Một người đàn bà 
A man, a male person 	Một người đàn ông 
A fellow countryman, compatriot 	Một người đồng hương 
An ally 	Một người đồng minh 
Very important personality, VIP 	Một nhân vật rất quan trọng 
A group of fishermen 	Một nhóm dân chài 
A group of people 	Một nhóm người 
A year, per year 	Một năm 
One year later 	Một năm sau 
Another place, a different place 	Một nơi khác 
A strange place 	Một nơi lạ 
A handful of rice 	Một nạm gạo 
A handful of rice 	Một nắm gạo 
A handful of rice 	Một nọn gạo 
A sum owed, a debt 	Một nố nợ 
A kiss 	Một nụ hôn 
One half 	Một nửa 
One half 	Một nửa số 
Once 	Một phen 
A delegation lead by general X 	Một phái đoàn dẫn đầu bởi tướng X 
A shot, a sudden event 	Một phát 
One minute 	Một phút 
One minute 	Một phút đồng hồ 
One-third 	Một phần ba 
One tenth 	Một phần mười 
One-fourth 	Một phần tư 
A strong military 	Một quân lực hùng mạnh 
Complication 	Một rắc rối 
One morning 	Một sáng 
A product of one’s imagination 	Một sản phẩm của tưởng tượng 
A number of, certain, several, some 	Một số 
A number of 	Một số các 
A number of authorities resisted this plan 	Một số giới chức đã chống lại dự án này 
A number of others 	Một số khác 
Many of those arrested 	Một số lớn trong số người bị bắt 
A number of people 	Một số người 
Some people believe or say that ~ 	Một số người cho là 
A number of people fear that 	Một số người e rằng 
Some amount of money 	Một số tiền 
A large sum of money 	Một số tiền không lồ 
A large amount of money, a lot of money 	Một số tiền lớn 
A small number 	Một số ít 
A small number of people 	Một số ít người 
A set, deck of cards 	Một sỗ bài 
Overnight 	Một sớm một chiều 
A piece of wire 	Một sợi dây kim khí 
A liar is not believed when he speaks the truth 	Một sự bất tín, vạn sự không tin 
A historical event 	Một sự kiện lịch sử 
An undeniable, irrefutable truth 	Một sự thật không thể chối cãi 
A budding genius 	Một thiên tài vừa nảy nở 
A little while later 	Một thoáng sao 
One month, per month 	Một tháng 
A month’s pay, a month’s wages 	Một tháng lương 
One month later 	Một tháng sau 
Another example is 	Một thí dụ nữa là 
A typical example 	Một thí dụ điển hình 
A time, period of time 	Một thôi 
A heavy defeat 	Một thất bại nặng 
Heavy defeat 	Một thất bại nặng nề 
A victory for Vietnam 	Một thắng lợi đối với Việt Nam 
Guy, fellow 	Một thằng 
A clever guy 	Một thằng cáo già 
Bastard, miserable person 	Một thằng khốn nạn 
Stupid person 	Một thằng ngu 
A big guy 	Một thằng to con 
A refugee 	Một thằng tị nạn 
Wife beater 	Một thằng vũ phu đánh vợ 
Robber 	Một thằng ăn cướp 
At the same time, on the same occasion 	Một thể 
At one time, previously, once 	Một thời 
A period of time, a while 	Một thời gian 
A short period of time 	Một thời gian ngắn 
In a short period of time 	Một thời gian ngắn nhiều 
A short time thereafter, shortly afterwards 	Một thời gian ngắn sau khi 
A short time before 	Một thời gian ngắn trước khi 
Golden age, heyday 	Một thời vàng son 
A new age, era 	Một thời đại mới 
1 a guy; 2 a kind of 	Một thứ 
A friend 	Một thứ bạn 
Something alive 	Một thứ gì còn sống 
An art 	Một thứ nghệ thuật 
Outsider 	Một thứ người ngoài 
An unpleasant, unhappy reality 	Một thực tế không vui 
A ray of hope 	Một tia hy vọng 
A sound, a noise 	Một tiếng 
A thud 	Một tiếng bịch 
A curse 	Một tiếng chửi thề 
An ear-shattering, deafening noise 	Một tiếng điếc tai 
1 one million; 2 omen; 3 to recall 	Một triệu 
One of 	Một trong 
One of two 	Một trong hai 
One of two things 	Một trong hai việc 
One of several, one of many, some; one of these 	Một trong những 
One of many projects, programs, plans 	Một trong những chương trình 
One of a number of; one among 	Một trong số các 
One of a small number of 	Một trong số rất ít 
A long story 	Một truyện dài 
One hundred 	Một trăm 
101 	Một trăm lẽ một 
One hundred thousand 	Một trăm ngà 
One hundred percent 	Một trăm phần trăm 
Life-or-death battle 	Một trận thừa sống thiếu chết 
One week 	Một tuần 
One week 	Một tuần lễ 
A week’s work, labor 	Một tuần lễ lao động 
One more week 	Một tuần nữa 
A week later 	Một tuần sau 
A year and a half old 	Một tuổi rưỡi 
A factor in the accident 	Một tác nhân gây ra tai nạn 
A cup of coffee 	Một tách cà phê 
Another cup of coffee 	Một tách cà phê nữa 
A little, a bit 	Một tí 
One night, one evening 	Một tối 
A neatly arranged bookcase 	Một tủ sách xếp đặt ngay ngắn 
Something 	Một việc 
Something that needs to be done right away 	Một việc cần làm ngay 
Something 	Một việc gì 
Something which, something that 	Một việc mà 
Something small 	Một việc nhỏ 
A few, several, some 	Một vài 
A few times, a time or two 	Một vài lần 
Once, one time around 	Một vòng 
A sensitive issue for China 	Một vấn đề rất nhạy cảm đối với Trung Quốc 
An item, an object 	Một vật gì 
Some object or another 	Một vật gì đó 
A man of great talent 	Một vị anh tài 
A tactical withdrawal 	Một vụ rút lui chiến thuật 
A changing society 	Một xã hội đang thay đổi 
Another factor is 	Một yếu tố khác là ~ 
A little bit, a tiny bit, a dash 	Một ít 
A little money 	Một ít tiền 
An old-fogy of a Chinese scholar 	Một ông thầy đồ nệ cổ 
A cigarette 	Một điếu thuốc 
A cigarette 	Một điếu thuốc lá 
One thing 	Một điều 
A great comfort 	Một điều an ủi lớn 
A condition, one condition 	Một điều kiện 
One more thing 	Một điều nữa 
Something important 	Một điều quan trọng 
An important thing to remember is ~ 	Một điều quan trọng nên nhớ là 
Another important thing is 	Một điều quan trọng nữa là 
One thing deserving attention is 	Một điều đáng lưu ý là 
Something to be happy about 	Một điều đáng mừng 
A flock of owls 	Một đàn cú 
Group of, crowd of 	Một đám 
A group of people 	Một đám người 
A night 	Một đêm 
A fatal blow 	Một đòn chí tử 
A flower 	Một đóa hoa 
A few, some 	Một đôi 
Sometimes, occasionally 	Một đôi khi 
An army 	Một đạo binh 
Subordinate group 	Một đảng đàn em 
Heap, pile 	Một đống 
A pile of sand 	Một đống cát 
One’s lifetime 	Một đời 
A newborn baby 	Một đứa bé sơ sinh 
1 to talk in one’s sleep; 2 lot, amount, batch; 3 hundred thousand 	Mớ 
Marijuana stash 	Mớ cần sa 
New, fresh, recent, first; only then, have just 	Mới 
To ask for a receipt 	Mới biên lai 
Suddenly 	Mới chợt 
Just one child so far 	Mới có một đứa thôi 
Brand-new 	Mới cứng 
To finally understand 	Mới hiểu 
Just, newly completed 	Mới hoàn tất 
New-made 	Mới làm 
Just a moment ago 	Mới lúc nãy đây 
Extraordinary, unusual, unheard-of, new, fresh 	Mới lạ 
New, recent, fresh 	Mới mẻ 
Brand-new 	Mới nguyên 
To have just a smattering of Russian 	Mới nhom nhem vài câu tiếng nga 
Newest, latest, most recent 	Mới nhất 
Newborn 	Mới nở 
To smoke at too young an age 	Mới nứt mắt mà đã hút thuốc 
Recently, in recent days 	Mới rồi 
In most recent days, a new star has been discovered 	Mới rồi, người ta tìm được một ngôi sao mới 
To just arrive, just get here 	Mới sang đây 
Newly founded, newly established 	Mới thành lập 
Brand-new 	Mới tinh 
Brand-new 	Mới toanh 
Reconsider, reevaluate 	Mới tính 
To just arrive 	Mới tới 
To just return, just get back 	Mới về 
Recently published 	Mới xuất hiện 
Most recently, lately 	Mới đây 
In the beginning, at first 	Mới đầu 
To just arrive, have just arrived 	Mới đến 
To look pale, recovering from and illness 	Mới ốm dậy nước da nhợt nhạt 
Feed from one’s mouth beak 	Mớm 
To put words into somebody’s mouth, prime somebody about what to say 	Mớm lời 
Water-line 	Mớn nước 
Just, only 	Mớị ~ thôi 
Dim, blear, blurred, opaque, blurred 	Mờ 
Blurred, blurry vision 	Mờ mắt 
Dark, dull 	Mờ mịt 
Dim, faint 	Mờ mờ 
Dawn, daybreak 	Mờ sáng 
Dubious, suspicious 	Mờ ám 
Opaque 	Mờ đục 
Ethereal, vaporous 	Mờ ảo 
To invite; please do sth 	Mời 
To solicit, invite 	Mời chào 
To invite for form’s sake, invite perfunctorily 	Mời lơi 
Inviting, enticing 	Mời mọc 
Please sit down, please have a seat 	Mời ngồi 
To invite someone to a ball 	Mời đến khiêu vũ 
Coax 	Mờm 
To open, start, begin, turn on, set up 	Mở 
To pull the pin on a grenade 	Mở chốt lựu đạn 
To open a meeting 	Mở cuộc họp 
To start an attack 	Mở cuộc tấn công 
To open an investigation 	Mở cuộc điều tra 
To open a door 	Mở cánh cửa 
Be side oneself with joy 	Mở cờ 
To open a door, open business 	Mở cửa 
Open door economy 	Mở cửa kinh tế 
To open a door 	Mở cửa ra 
To make the first purchase in the day of something from someone 	Mở hàng 
To open a conference 	Mở hội đàm 
To reopen a conversation, dialog 	Mở lại đối thoại 
To turn up, open wider 	Mở lớn 
To start the conversation 	Mở lời 
To develop, expand, enlarge 	Mở mang 
To expand one’s borders 	Mở mang bờ cõi 
Urban development 	Mở mang các thành phố 
Economic development 	Mở mang kinh tế 
To open one’s mouth to speak 	Mở miệng 
To develop, enlarge, raise the curtain, begin 	Mở màn 
Begin, star, prelude 	Mở mào 
Start an engine 	Mở máy 
To turn on the air conditioner 	Mở máy lạnh lên 
To start a car 	Mở máy xe 
To open eyes to 	Mở mắt 
To open one’s eyes 	Mở mắt ra 
Be better off 	Mở mặt 
To start a competition 	Mở một cuộc thi 
To open a round of talks 	Mở một vòng đàm phán 
Open 	Mở ngỏ 
Open, free economy 	Mở ngỏ kinh tế 
To open communications 	Mở những liên lạc 
To uncork, button, knot 	Mở nút 
To turn on the water 	Mở nước 
To open 	Mở nắp 
To open a lid, take off a lid 	Mở nắp ra 
To open a meeting 	Mở phiên họp 
To open; unfold, open out, spread out, unwind, uncoil, unroll, unfurl 	Mở ra 
To widen, enlarge, expand, extend; expansion 	Mở rộng 
To widen one’s perspectives 	Mở rộng tầm mắt 
To turn on the TV 	Mở ti vi 
Give a banquet, banquet 	Mở tiệc 
To give a banquet in honor of somebody, throw a party 	Mở tiệc chiêu đãi 
Open the door wide 	Mở toang 
To open an account 	Mở trương mục 
To turn on a faucet, turn on a tap 	Mở vòi nước 
Initiate, pave the way for, open the road to something 	Mở đường 
To open the door to something, allow something, make way for something 	Mở đường cho 
To make a sortie 	Mở đường máu 
To begin, initiate, start, open 	Mở đầu 
To start a war 	Mở đầu cuộc chiến tranh 
To be white as snow 	Mởn 
Grease, fat 	Mỡ 
Chicken fat colored 	Mỡ gà 
Pig’s side fat 	Mỡ lá 
Stew in one’s own juice 	Mỡ nó rán nó 
Liquid lard 	Mỡ nước 
Pig’s nape fat 	Mỡ phần 
Set grease 	Mỡ đặc 
Aunt, maternal uncle’s wife 	Mợ 
Hag, old woman 	Mụ 
Midwife 	Mụ vườn 
Eye; pasture; section 	Mục 
Scornful, contemptuous, disdainful, supercilious, self-righteous, self-important 	Mục hạ vô nhân 
To eye, witness 	Mục kích 
Gig-lamps, spec 	Mục kỉch 
Gig-lamps, specs 	Mục kỉnh 
Table of contents, catalog, list 	Mục lục 
Rotten, decayed, corrupt 	Mục nát 
Shepherd 	Mục phu 
Rotten to the core, thoroughly corrupt 	Mục ruỗng 
Cattle breeding, animal husbandry; grazing animals 	Mục súc 
Pastor, clergyman, priest, minister 	Mục sư 
Aim, purpose, object, objective, goal, target 	Mục tiêu 
Noble goal, purpose, aim 	Mục tiêu cao cả 
Strategic objective, goal 	Mục tiêu chiến lược 
The target of the bomb 	Mục tiêu của trái bom 
Military objective 	Mục tiêu quân sự 
Civilian target 	Mục tiêu thường dân 
Grazing-ground, grazing-land 	Mục trường 
Entry in a dictionary 	Mục từ 
Herdsman 	Mục tử 
Aim, objective, goal, purpose, target, mark 	Mục đích 
Common goal, objective 	Mục đích chung 
The objective, purpose of a trip 	Mục đích của chuyến công 
Finalism 	Mục đích luận 
Herdsman 	Mục đông 
Herds-man 	Mục đồng 
Left over as odds and ends, leavings 	Mụi 
Acne, pimple, blister, sore, boil 	Mụn 
Few children 	Mụn con 
Wart 	Mụn cóc 
Wart 	Mụn cơm 
Eczema 	Mụn mủ 
Furuncle, boil 	Mụn nhọt 
Vesicle 	Mụn nước 
Blain 	Mụn rộp 
Tender cabbage shoot 	Mụp 
Boil 	Mụt 
Pus, matter 	Mủ 
Be moved, feel pity, feel compassion 	Mủi lòng 
To shed tears out of compassion 	Mủi lòng rơi nước mắt 
Decayed 	Mủn 
Small basket 	Mủng 
A small basket or rice 	Mủng gạo 
In excess, more than one can manage 	Mứa 
Level, amount, degree, measure, extent, standard 	Mức 
Withstand level 	Mức chịu đựng 
Insulation level 	Mức cách điện 
Basic impulse level 	Mức cách điện cơ bản 
Level, norm 	Mức dộ 
Level reduction 	Mức giảm công suất 
Record level 	Mức kỷ lục 
Salary grade, salary level 	Mức lương 
Sugar-coated ground-nuts 	Mức lạc 
Level of inflation 	Mức lạm phát 
Poverty level 	Mức nghèo đói 
Distribution scheme 	Mức phân bổ 
Standard of living 	Mức sinh hoạt 
Living standard, standard of living, age 	Mức sống 
Maximum age, life expectancy 	Mức sống tối đa 
Level, rung of a ladder 	Mức thang 
Deficit 	Mức thiếu hụt 
Tax level 	Mức thuế 
Record low level 	Mức thấp kỷ lục 
Debt limit, debt ceiling 	Mức trần nợ 
Inventory level 	Mức tồn kho 
Voltage regulation level 	Mức điều chỉnh điện áp 
Level of investment 	Mức đầu tư 
The level of Japanese investment has declined considerably 	Mức đầu tư của Nhật Bản đã sụt giảm đáng kể 
Level, standard, measure 	Mức độ 
Education level 	Mức độ giáo dục 
Level, amount of damage 	Mức độ hư hại 
Seriousness, significance 	Mức độ nghiêm trọng 
Murder rate, number of murders 	Mức độ sát nhân 
Level of toxicity 	Mức độ độc tính 
Jam, sugar-coated fruit, sugar, preserved fruit 	Mứt 
Marmalade 	Mứt cam 
Confectionery 	Mứt kẹo 
Raisin 	Mứt nho 
Sugar-preserved lotus seeds 	Mứt sen 
Guava jam 	Mứt ổi 
Ginger jam 	Mứt ừng 
Dim, vague, unclear 	Mừ 
To rejoice, congratulate, celebrate; glad, happy, pleased; happiness 	Mừng 
Make merry 	Mừng công 
To rejoice in vain 	Mừng hụt 
Very happy 	Mừng lắm 
Very happy 	Mừng như bắt được vàng 
To be overjoyed, bubble over with joy, rejoice 	Mừng quýnh 
To bubble up with joy 	Mừng quýnh lên 
Excited 	Mừng rơn 
To get excited 	Mừng rơn lên 
Happy, pleased, glad; to be happy, rejoice 	Mừng rỡ 
To feel or be happy inside 	Mừng thầm 
To feel or be happy inside 	Mừng thầm trong lòng 
Express New Year’s Day wishes to someone for being a year older 	Mừng tuổi 
Happy 	Mừng vui 
To vomit, spew up food 	Mửa 
Very hard, exhausting 	Mửa mật 
Cuttle-fish; ink 	Mực 
Sea, river, water level 	Mực nước 
Sea level, ocean level 	Mực nước biển 
Exemplary, model-setting, regular 	Mực thước 
Indian ink 	Mực tàu 
Squid 	Mực ống 
Feeling for the beautiful, sense of beauty 	Mỹ cảm 
Aesthetic education, ethical instruction 	Mỹ dục 
Aesthetics 	Mỹ học 
Beautiful, lovely 	Mỹ lệ 
Affectedly pretty, dainty, beautiful, good-looking 	Mỹ miều 
Fully satisfactory, fully meeting one’s expectations, perfect 	Mỹ mãn 
Fine arts 	Mỹ nghệ 
Pretty girl 	Mỹ nữ 
Beauty product, cosmetic 	Mỹ phẩm 
Beautiful looking, good-looking, pleasing to the eyes 	Mỹ quan 
Fine arts, art, esthetics 	Mỹ thuật 
Arts and crafts 	Mỹ thuật công nghiệp 
Fine custom, good customs 	Mỹ tục 
Delicacies 	Mỹ vị 
Good intention 	Mỹ ý 
Virtue, good quality 	Mỹ đức 
To bring, carry 	Na 
Rather like, rather similar 	Na ná 
Napalm 	Na pan 
Sodium 	Na tri 
Deer 	Nai 
Doe 	Nai cái 
To work hard, severe 	Nai dưng 
To toil, work hard 	Nai lưng làm việc 
Adjust one’s clothes securely 	Nai nịt 
1 south; 2 male 	Nam 
Traditional song originated in the central regions 	Nam ai 
Enlisted man 	Nam binh sĩ 
Southern hemisphere 	Nam bán cầu 
Traditional song originated in the central regions 	Nam bằng 
Southern part of an area 	Nam bộ 
Tenor 	Nam cao 
Magnet, magnetic 	Nam châm 
Permanent magnet 	Nam châm vĩnh cửu 
Electromagnet 	Nam châm điện 
Antarctic pile, south pole 	Nam cực 
Male actor 	Nam diễn viên 
Heaven-worshipping ceremony 	Nam giao 
Male sex 	Nam giới 
Empty dream 	Nam kha 
Son, man 	Nam nhi 
Man 	Nam nhân 
An attractive man 	Nam nhân hấp dẫn 
Male and female 	Nam nữ 
Equal rights for women 	Nam nữ bình quyền 
South wind 	Nam phong 
Young and old alike, everybody regardless of sex and age 	Nam phụ lão ấu 
Traditional clothing of Vietnam 	Nam phục 
Boy pupil, boy student 	Nam sinh 
Male student 	Nam sinh viên 
Young man 	Nam thanh niên 
Fashionable and wealthy young people 	Nam thanh nữ tú 
Male candidate 	Nam thí sinh 
Southward march 	Nam tiến 
Man’s clothing 	Nam trang 
Baritone 	Nam trung 
Bass 	Nam trầm 
A constellation in the northern hemisphere 	Nam tào 
Male sex 	Nam tính 
Baron 	Nam tước 
Man, male 	Nam tử 
Difficult 	Nan 
Difficult, hard to solve 	Nan giải 
Spoke 	Nan hoa 
Blade of a fan 	Nan quạt 
Difficult to cure 	Nan y 
Follicle 	Nang 
Tusk 	Nanh 
Cruel, fiendish person 	Nanh nọc 
Quincunx 	Nanh sấu 
Tusk and clutch, clutches 	Nanh vuốt 
Cruel, wicked 	Nanh ác 
Moved 	Nao lòng 
To whirl, swirl 	Nao nao 
To flinch from, be deterred from, shy from, avoid 	Nao núng 
1 this, these; 2 today, at present, nowadays, now, at this time 	Nay 
Here today, gone tomorrow 	Nay còn mai mất 
Respectfully yours 	Nay kính 
At that very moment 	Nay lúc ấy 
To procrastinate 	Nay lần mai lữa 
In the near future, soon 	Nay mai 
Unchanging, variable 	Nay sửa mai đổi 
Faithfully your, sincerely yours, yours truly 	Nay thư 
To be always on the move, knock about 	Nay đây mai đó 
Drive to one side, drive sideways 	Ne 
Pork hash wrapped in banana leaf 	Nem 
Northern term for Southern chả giò 	Nem Sài Gòn 
Fermented pork roll 	Nem chua 
To crouch in fear 	Nem nép 
To crouch in fear of a beating 	Nem nép sợ đòn 
Fried meat roll 	Nem rán 
Anchor 	Neo 
Alone, solitary 	Neo đơn 
Russia 	Nga 
Tsar, czar 	Nga hoàng 
