The	Các
Heaven	Thiên đường
Rough	Thô
Yell	Hét lên
Pregnant	Có thai
Distant	Xa xôi
Drama	Kịch
Satellite	Vệ tinh
Personally	Cá nhân
Wonder	Ngạc nhiên
Clock	đồng hồ
Chocolate	Sô cô la
Italian	Người Ý
Canadian	Người Canada
Ceiling	Trần nhà
Sweep	Quét
Advertising	Quảng cáo
Universal	Phổ cập
Spin	Quay
House	Nhà ở
Button	Nút
Bell	Chuông
Rank	Cấp
Darkness	Bóng tối
Ahead	Phía trước
Clothing	Quần áo
Super	Siêu
Yield	Năng suất
Fence	Hàng rào
Portrait	Chân dung
Paint	Sơn
Survival	Sự sống còn
Roughly	Gần
Lawsuit	Kiện tụng
Bottom	đáy
Testimony	Lời khai
Bunch	Bó
Beat	Tiết tấu
Wind	Gió
Found	Tìm
Burden	Gánh nặng
React	Phản ứng
Chamber	Buồng
Furniture	đồ nội thất
Cooperation	Hợp tác
String	Chuỗi
Ceremony	Lễ
Communicate	Giao tiếp
Taste	Nếm thử
Cheek	Má
Lost	Mất đi
Profile	Hồ sơ
Mechanism	Cơ chế
Disagree	Không đồng ý
Like	Như
Penalty	Hình phạt
Match	Trận đấu
Ie	Nghĩa là
Advance	Nâng cao
Resort	Phương sách
Destruction	Sự phá hủy
Bear	Chịu
Unlikely	Không chắc
Tissue	Mô
Constitutional	Hiến pháp
Pants (PL)	Quần (PL)
Stranger	Lạ
Infection	Nhiễm trùng
Cabinet	Buồng
Broken	Bị hỏng
Apple	Táo
Electric	điện
Proceed	Tiếp tục
Track	Theo dõi
Bet	Cá cược
Literary	Văn chương
Virus	Virus
Stupid	Ngốc nghếch
Dispute	Tranh chấp
Fortune	Vận may
Strategic	Chiến lược
Assistant	Phụ tá
Overcome	Vượt qua
Remarkable	đáng chú ý
Occupy	Chiếm
Statistics	Số liệu thống kê
Shopping	Mua sắm
Cousin	Anh chị em họ
Encounter	Gặp gỡ
Wipe	Lau
Initially	Ban đầu
Blind	Mù quáng
White	Trắng
Port	Hải cảng
Honor	Tôn vinh
Electricity	điện
Genetic	Di truyền
Adviser	Cố vấn
Pay	Trả
Spokesman	Người phát ngôn
Retain	Giữ lại
Latter	Sau này
Incentive	Khuyến khích
Slave	Nô lệ
Chemical	Hóa chất
Translate	Dịch
Accurate	Chính xác
Whereas	Trong khi
Terror	Khủng bố
Though	Tuy nhiên
Expansion	Sự bành trướng
Elite	ưu tú
Olympic	Olympic
Dirt	Bẩn
Odd	Lẻ
Rice	Cơm
Bullet	đạn
Tight	Chặt chẽ
Bible	Kinh Thánh
Chart	đồ thị
Solar	Hệ mặt trời
Decline	Từ chối
Conservative	Thận trọng
Process	Quá trình
Square	Quảng trường
Stick	Gậy
Concentration	Sự tập trung
Complicated	Phức tạp
Gently	Dịu dàng
Champion	Quán quân
Scenario	Kịch bản
Telescope	Kính viễn vọng
Reflection	Sự phản chiếu
Revolution	Cuộc cách mạng
Strip	Dải
Interpret	Thông dịch
Friendly	Thân thiện
Tournament	Giải đấu
Fiction	Viễn tưởng
Detect	Phát hiện
Balance	Cân đối
Likely	Có khả năng
Tremendous	To lớn
Lifetime	Cả đời
Recommendation	Sự giới thiệu
Flow	Lưu lượng
Senator	Thượng nghị sĩ
Market	Thị trường
Hunting	Săn bắn
Salad	Rau xà lách
Guarantee	Bảo hành
Innocent	Vô tội
Boundary	Ranh giới
Pause	Tạm ngừng
Remote	Xa
Satisfaction	Sự thỏa mãn
Journal	Tạp chí
Bench	Băng ghế
Lover	Người yêu
Raw	Thô
Awareness	Nhận thức
Surprising	Thật ngạc nhiên
Withdraw	Thu hồi
General	Chung
Deck	Boong
Similarly	Tương tự
Newly	Mới
Pole	Cây sào
Testify	Làm chứng
Mode	Chế độ
Dialogue	đối thoại
Imply	Ngụ ý
Naturally	Một cách tự nhiên
Mutual	Lẫn nhau
Founder	Người sáng lập
Top	Hàng đầu
Advanced	Nâng cao
Pride	Tự hào
Dismiss	Bỏ qua
Aircraft	Phi cơ
Delivery	Chuyển
Mainly	Chủ yếu
Bake	Bake
Freeze	Đông cứng
Platform	Nền tảng
Finance	Tài chính
Sink	Bồn rửa
Attractive	Hấp dẫn
Respect	Sự tôn trọng
Diverse	Phong phú
Relevant	Liên quan, thích hợp
Ideal	Lý tưởng
Joy	Vui sướng
Worth	Giá trị
Regularly	Thường xuyên
Working	đang làm việc
Singer	Ca sĩ
Evolve	Phát triển
Shooting	Chụp
Partly	Từng phần
Unknown	Không xác định
Assistant	Phụ tá
Offense	Xúc phạm
Counter	Quầy tính tiền
DNA	DNA
Smell	Mùi
Potentially	Có khả năng
Transfer	Chuyển khoản
Thirty	Ba mươi
Justify	Biện hộ
Protest	Phản đối
Crash	Tai nạn
Craft	Nghề thủ công
Treaty	Hiệp ước
Terrorist	Khủng bố
Insight	Cái nhìn sâu sắc
Possess	Sở hữu
Politically	Chính trị
Tap	Gõ
Lie	Nói dối
Extensive	Sâu rộng
Episode	Tập phim
Double	Gấp đôi
Swim	Bơi
Tire	Lốp xe
Fault	Lỗi
Loose	Lỏng lẻo
Free	Miễn phí
Shortly	Ngay
Originally	Ban đầu
Considerable	đáng kể
Prior	Trước
Intellectual	Trí tuệ
Mix	Pha trộn
Assault	Tấn công
Relax	Thư giãn
Stair	Cầu thang
Adventure	Cuộc phiêu lưu
External	Bên ngoài
Proof	Bằng chứng
Confident	Tự tin
Headquarters	Trụ sở chính
Sudden	đột nhiên
Dirty	Dơ bẩn
Violation	Sự vi phạm
Tongue	Lưỡi
License	Giấy phép
Hold	Giữ
Shelter	Nơi trú ẩn
Rub	Chà xát
Controversy	Tranh cãi
Entrance	Cổng vào
Favorite	Yêu thích
Practice	Thực hành
Properly	đúng
Fade	Phai màu
Defensive	Phòng ngự
Tragedy	Bi kịch
Net	Mạng lưới
Characterize	đặc trưng
Funeral	Tang lễ
Profession	Chuyên nghiệp
Alter	Thay đổi
Spot	Nơi
Constitute	Cấu tạo
Establishment	Thành lập
Squeeze	Bóp
Imagination	Trí tưởng tượng
Target	Mục tiêu
Mask	Mặt nạ
Convert	đổi
Comprehensive	Toàn diện
Prominent	Nổi bật
Presentation	Trình bày
Regardless	Bất kể
Easy	Dễ dàng
Load	Tải trọng
Stable	ổn định
Introduction	Giới thiệu
Appeal	Kháng cáo
Pretend	Giả vờ
Not	Không phải
Elderly	Người lớn tuổi
Representation	đại diện
Deer	Con nai
Split	Phân chia
Violate	Xâm phạm
Partnership	Hợp tác
Pollution	Sự ô nhiễm
Emission	Khí thải
Steady	Vững chắc
Vital	Quan trọng
Neither	Cũng không
Fate	Số phận
Earnings	Thu nhập
Oven	Lò nướng
Distinction	Phân biệt
Segment	Phần
Nowhere	Hư không
Poet	Bài thơ
Mere	Chỉ là
Exciting	Thú vị
Variation	Biến thể
Comfort	Thoải mái
Radical	Cấp tiến, căn nguyên
Stress	Nhấn mạnh
Adapt	Phỏng theo
Irish	Người Ailen
Honey	Mật ong
Correspondent	Phóng viên
Pale	Nhợt nhạt
Musician	Nhạc sĩ
Significance	Tầm quan trọng
Load	Tải trọng
Round	Tròn
Vessel	Tàu
Storage	Lưu trữ
Flee	Chạy trốn
Mm-hmm	Mm-hmm
Leather	Da
Distribute	Phân phát
Evolution	Sự phát triển
Ill	Bệnh
Tribe	Bộ lạc
Shelf	Kệ
Can	Có thể
Grandfather	ông nội
Lawn	Bãi cỏ
Buyer	Người mua
Dining	ăn uống
Wisdom	Sự khôn ngoan
Council	Hội đồng
Vulnerable	Dễ bị tổn thương
Instance	Ví dụ
Garlic	Tỏi
Capability	Khả năng
Poetry	Thơ phú
Celebrity	Người nổi tiếng
Gradually	Dần dần
Stability	Sự ổn định
Doubt	Nghi ngờ
Fantasy	Tưởng tượng
Scared	Sợ hãi
Guide	Hướng dẫn
Plot	âm mưu
Framework	Khuôn khổ
Gesture	Cử chỉ
Depending	Tùy
Ongoing	đang diễn ra
Psychology	Tâm lý học
Since	Kể từ
Counselor	Cố vấn
Witness	Nhân chứng
Chapter	Chương
Fellow	đồng bào
Divorce	Ly hôn
Owe	Nợ
Pipe	ống
Athletic	Khỏe mạnh
Slight	Nhẹ
Math	Môn Toán
Shade	Bóng râm
Tail	đuôi
Sustain	Duy trì
Mount	Gắn kết
Obligation	Nghĩa vụ
Angle	Góc
Palm	Lòng bàn tay
Differ	Khác nhau
Custom	Tập quán
Store	Cửa hàng
Economist	Nhà kinh tế học
Fifteen	Mười lăm
Soup	Súp
Celebration	Lễ kỷ niệm
Efficient	Hiệu quả
Damage	Hư hại
Composition	Thành phần
Satisfy	Làm vui lòng
Pile	Đóng cọc
Briefly	Ngắn gọn
Carbon	Carbon
Closer	Gần hơn
Consume	Tiêu dùng
Scheme	Kế hoạch
C rack	Bẻ khóa
Frequency	Tần số
Tobacco	Thuốc lá
Survivor	Người sống sót
Besides	Ngoài ra
In	Trong
Psychologist	Nhà tâm lý học
Wealthy	Giàu có
Galaxy	Thiên hà
Given	được
Fund	Quỹ
Ski	Trượt tuyết
Limitation	Giới hạn
OK	được
Trace	Dấu vết
Appointment	Cuộc hẹn
Preference	Sở thích
Meter	Mét
Explosion	Nổ
Arrest	Bắt giữ
Publicly	Công khai
Incredible	đáng kinh ngạc
Fighter	đấu sĩ
Rapid	Nhanh
Admission	Nhận vào
Hunter	Thợ săn
Educate	Giáo dục
Painful	đau đớn
Friendship	Hữu nghị
Aide	Trợ lý
Infant	Trẻ sơ sinh
Calculate	Tính toán
Fifty	Năm mươi
Rid	Thoát khỏi
Porch	Hiên nhà
Tendency	Khuynh hướng
Uniform	đồng phục
Formation	Sự hình thành
Scholarship	Học bổng
Reservation	đặt phòng
Efficiency	Hiệu quả
Waste	Chất thải
Qualify	đủ tiêu chuẩn
Mall	Trung tâm mua sắm
Derive	Lấy được
Scandal	Vụ bê bối
PC	PC
Helpful	Hữu ích
Impress	Gây ấn tượng
Heel	Gót chân
Resemble	Giống
Privacy	Riêng tư
Fabric	Vải
Surprise	Sự ngạc nhiên
Contest	Cuộc thi
Proportion	Tỉ lệ
Guideline	Hướng dẫn
Rifle	Súng trường
Maintenance	Bảo trì
Conviction	Lòng tin chắc, sự kết án, phán quyết
Trick	Lừa
Organic	Hữu cơ
Tent	Lều
Examination	Kiểm tra
Publisher	Nhà xuất bản
Strengthen	Củng cố
French	Người Pháp
Proposed	đề xuất
Myth	Huyền thoại
Sophisticated	Tinh vi
Cow	Bò
Etc	Vv
Standing	đứng
Asleep	Ngủ
Tennis	Quần vợt
Nerve	Dây thần kinh
Barrel	Thùng
Bombing	Ném bom
Membership	Thành viên
Ratio	Tỉ lệ
Menu	Thực đơn
Purchase	Mua, tựa vào, bám vào
Controversial	Gây tranh cãi
Desperate	Tuyệt vọng
Rate	Tỷ lệ
Lifestyle	Lối sống
Humor	Hài hước
Loud	To tiếng
Glove	Găng tay
Suspect	Nghi ngờ
Sufficient	đủ
Narrative	Tường thuật
Photographer	Nhiếp ảnh gia
Helicopter	Máy bay trực thăng
Catholic	Công giáo
Modest	Khiêm tốn
Provider	Các nhà cung cấp
Delay	Sự chậm trễ
Agricultural	Nông nghiệp
Explo de	Nổ tung
Stroke	Cú đánh
Scope	Phạm vi
Punishment	Hình phạt
Handful	ít
Badly	Tệ
Horizon	đường chân trời
Curious	Hiếu kỳ
Downtown	Trung tâm thành phố
Girlfriend	Bạn gái
Prompt	Nhắc nhở
Request	Yêu cầu
Cholesterol	Cholesterol
Absorb	Hấp thụ
Adjustment	điều chỉnh
Taxpayer	Người nộp thuế
Eager	Hăng hái
Principal	Hiệu trưởng
Detailed	Chi tiết
Motivation	động lực
Assignment	Nhiệm vụ
Restriction	Sự hạn chế
Across	Băng qua
Palestinian	Palestine
Laboratory	Phòng thí nghiệm
Workshop	Xưởng
Differently	Khác
Auto	Tự động
Romantic	Lãng mạn
Cotton	Bông
Motor	động cơ
Sue	Kiện
Flavor	Hương vị
Overlook	Bỏ qua
Float	Phao
Undergo	Trải qua
Sequence	Trình tự
Demonstration	Trình diễn
Jet	Máy bay phản lực
Orange	Trái cam
Consumption	Tiêu dùng
Assert	Khẳng định
Blade	Lưỡi
Temporary	Tạm thời
Medication	Thuốc men
Print	In
Cabin	Cabin
Bite	Cắn
Relative	Quan hệ
Edition	Phiên bản
Valley	Thung lũng
Yours	Của bạn
Pitch	Sân cỏ
Pine	Cây thông
Brilliant	Rực rỡ
Versus	đấu với
Manufacturing	Chế tạo
Risk	Rủi ro
Christian	Christian
Complex	Phức tạp
Absolute	Tuyệt đối
Chef	đầu bếp
Discrimination	Kỳ thị
Offensive	Phản cảm
German	Tiếng Đức
Suit	Bộ đồ
Boom	Sự bùng nổ
Register	Ghi danh
Appoint	Bổ nhiệm
Heritage	Gia tài
God	Thần
Terrorist	Khủng bố
Dominant	Có ưu thế
Successfully	Thành công
Shit	Dơ bẩn
Lemon	Chanh
Hungry	đói bụng
Sense	Giác quan
Dry	Khô
Wander	đi lang thang
Submit	đệ trình
Economics	Kinh tế học
Naked	Trần truồng
Anticipate	đoán trước
Nut	Hạt
Legacy	Di sản
Extension	Sự mở rộng
Shrug	Nhún vai
Fly	Bay
Battery	ắc quy
Arrival	Sự đến
Legitimate	Hợp pháp
Orientation	Sự định hướng
Inflation	Lạm phát
Cope	đối phó
Flame	Ngọn lửa
Cluster	Cụm
Host	Chủ nhà
Wound	Vết thương
Dependent	Phụ thuộc
Shower	Vòi hoa sen
Institutional	Thể chế
Depict	Miêu tả
Operating	điều hành
Flesh	Xác thịt
Garage	Gara
Operator	Nhà điều hành
Instructor	Giảng viên
Collapse	Sự sụp đổ
Borrow	Vay
Furthermore	Hơn nữa
Comedy	Phim hài
Mortgage	Thế chấp
Sanction (PL)	Sự trừng phạt (PL)
Civilian	Dân thường
Twelve	Mười hai
Weekly	Hàng tuần
Habitat	Môi trường sống
Grain	Ngũ cốc
Brush	Chải
Consciousness	ý thức
Devote	Cống hiến
C rack	Bẻ khóa
Measurement	Phép đo
Province	Tỉnh
Ease	Giảm bớt
Seize	Tịch thu
Ethics	đạo đức
Nomination	đề cử
Permission	Sự cho phép
Wise	Khôn ngoan
Actress	Nữ diễn viên
Summit	Hội nghị thượng đỉnh
Acid	Axit
Odds	Tỷ lệ
Gifted	Năng khiếu
Frustration	Thất vọng
Medium	Trung bình
Function	Chức năng
Physically	Thể chất
Grant	Ban cho
Distinguish	Phân biệt
Shore	Bờ biển
Repeatedly	Nhiều lần
Lung	Phổi
Firm	Chắc chắn
Running	đang chạy
Correct	Chính xác
Distinct	Khác biệt
Artistic	Nghệ thuật
Discourse	đàm luận
Basket	Cái rổ
Ah	Ah
Fighting	Trận đánh
Impressive	ấn tượng
Competitor	đối thủ
Ugly	Xấu xí
Worried	Lo lắng
Portray	Miêu tả
Powder	Bột
Ghost	Ma
Persuade	Truy vấn
Moderate	Vừa phải
Subsequent	Sau đó
Continued	Tiếp tục
Cookie	Bánh quy
Carrier	Vận chuyển
Cooking	Nấu nướng
Frequent	Thường xuyên
Ban	Lệnh cấm
Swing	Lung lay
Orange	Trái cam
Awful	Kinh khủng
Admire	Ngưỡng mộ
Pet	Vật nuôi
Miracle	Phép màu
Exceed	Quá
Rhythm	Nhịp
Widespread	Phổ biến rộng rãi
Killing	Giết chết
Lovely	đáng yêu
Sin	Tội
Charity	Từ thiện
Script	Kịch bản
Tactic	Chiến thuật
Identification	Nhận biết
Transformation	Chuyển đổi
Everyday	Mỗi ngày
Headline	Tiêu đề
Crash	Tai nạn
Venture	Liên doanh
Invasion	Cuộc xâm lăng
Military	Quân đội
Nonetheless	Dù sao
Adequate	đầy đủ
Piano	đàn piano
Grocery	Tạp hóa
Intensity	Cường độ
Exhibit	Triển lãm
High	Cao
Blanket	Cái mền
Margin	Lề
Principal	Hiệu trưởng
Quarterback	Tiền vệ
Mouse	Chuột
Rope	Dây thừng
Concrete	Bê tông
Prescription	đơn thuốc
African-American	Người Mỹ gốc Phi
Chase	đuổi theo
Document	Tài liệu
Brick	Gạch
Recruit	Tuyển dụng
Patch	Vá
Consensus	Sự đồng thuận
Horror	Kinh dị
Recording	Ghi âm
Changing	Thay đổi
Painter	Họa sĩ
Colonial	Thuộc địa
Pie	Chiếc bánh
Sake	Lợi ích
Gaze	Nhìn chằm chằm
Courage	Lòng can đảm
Pregnancy	Mang thai
Swear	Xin thề
Defeat	đánh bại
Clue	Manh mối
Reinforce	Củng cố
Win	Thắng lợi
Confusion	Sự nhầm lẫn
Slice	Lát
Occupation	Nghề nghiệp
Dear	Kính thưa
Coal	Than
Sacred	Linh thiêng
Criminal	Phạm tội
Formula	Công thức
Cognitive	Nhận thức
Collective	Tập thể
Exact	Chính xác
Uncle	Chú
Square	Quảng trường
Captain	đội trưởng
Sigh	Thở dài
Attribute	Thuộc tính
Dare	Dám
Okay	đuợc
Homeless	Vô gia cư
Cool	Mát mẻ
Gallery	Bộ sưu tập
Soccer	Bóng đá
Defendant	Bị cáo
Tunnel	đường hầm
Fitness	Sự tập thể dục
Lap	Vòng
Grave	Phần mộ
Toe	Ngón chân
Container	Thùng đựng hàng
Virtue	Đức hạnh
Abroad	ở nước ngoài
Architect	Kiến trúc sư
Dramatically	đột ngột
Makeup	Trang điểm
Inquiry	Yêu cầu
Rose	Bông hồng
Surprisingly	Thật ngạc nhiên
Highlight	Điểm nổi bật
Decrease	Giảm bớt
Indication	Dấu hiệu
Rail	đường sắt
Anniversary	Ngày kỷ niệm
Couch	đi văng
Alliance	Liên minh
Hypothesis	Giả thuyết
Boyfriend	Bạn trai
Compose	Soạn, biên soạn
Peer	Ngang nhau
Mess	Lộn xộn
Rank	Cấp
Legend	Huyền thoại
Regulate	Quy định
Adolescent	Thanh niên
Shine	Tỏa sáng
Norm	định mức
Upset	Buồn bã
Remark	Nhận xét
Resign	Từ chức
Reward	Phần thưởng
Gentle	Dịu dàng
Related	Liên quan
Organ	đàn organ
Lightly	Nhẹ nhàng
Concerning	Có liên quan
Invent	Phát minh
Laughter	Tiếng cười
Fit	Phù hợp
Northwest	Tây Bắc
Counseling	Tư vấn
Tight	Chặt chẽ
Receiver	Người nhận
Ritual	Lễ nghi
Insect	Côn trùng
Interrupt	Làm gián đoạn
Salmon	Cá hồi
Favor	ủng hộ
Trading	Thương mại
Concern	Mối quan ngại
Magic	Ma thuật
Superior	Cấp trên
Combat	Chống lại
Stem	Thân cây
Surgeon	Bác sĩ phẫu thuật
Acceptable	Chấp nhận được
Physics	Vật lý
Rape	Hãm hiếp
Counsel	Lời khuyên
Brush	Chải
Jeans	Quần jean
Hunt	Săn bắn
Continuous	Liên tiếp
Log	đăng nhập
Echo	Echo
Pill	Viên thuốc
Excited	Bị kích thích
Sculpture	điêu khắc
Compound	Hợp chất
Integrate	Tích hợp
Flour	Bột mì
Bitter	đắng
Bare	Trần
Slope	Dốc
Rent	Thuê
Presidency	Chức tổng thống
Serving	Phục vụ
Subtle	Tế nhị
Greatly	Rất nhiều
Bishop	Giám mục
Drinking	Uống
Delay	Sự chậm trễ
Cry	Khóc
Acceptance	Chấp thuận
Collapse	Sự sụp đổ
Shop	Cửa tiệm
Pump	Máy bơm
Candy	Cục kẹo
Evil	Tà ác
Final	Sau cùng
Finance	Tài chính
Pleased	Vừa lòng
Medal	Huy chương
Beg	ăn xin
Sponsor	Nhà tài trợ
Ethical	đạo đức
Secondary	Thứ hai
Slam	Sập
Export	Xuất khẩu
Experimental	Thử nghiệm
Melt	Tan chảy
Midnight	Nữa đêm
Net	Mạng lưới
Curve	đường cong
Integrity	Chính trực
Entitle	Quyền lợi
Evident	Hiển nhiên
Logic	Logic
Essence	Bản chất
Park	Công viên
Exclude	Loại trừ
Harsh	Khắc nghiệt
Closet	Tủ quần áo
Suburban	Ngoại ô
Greet	Chào hỏi
Favor	ủng hộ
Interior	Nội địa
Corridor	Hành lang
Murder	Giết người
Retail	Bán lẻ
Pitcher	Người bình
March	Tháng Ba
Snake	Con rắn
Pitch	Sân cỏ
Excuse	Tha
Cross	Vượt qua
Weakness	Yếu đuối
Pig	Con lợn
Cold	Lạnh
Classical	Cổ điển
Estimated	ước tính
T-shirt	Áo thun
Online	Trực tuyến
Unemployment	Thất nghiệp
Civilization	Nền văn minh
Fold	Gập lại
Patient	Bệnh nhân
Pop	Nhạc pop
Daily	Hằng ngày
Reverse	đảo ngược
Missing	Mất tích
Correlation	Tương quan
Humanity	Nhân loại
Flash	đèn flash
Developer	Nhà phát triển
Reliable	đáng tin cậy
Excitement	Sự phấn khích
Beef	Thịt bò
Islam	đạo Hồi
Roman	Roman
Stretch	Căng ra
Architecture	Kiến trúc
Occasional	Thỉnh thoảng
Administrative	Hành chính
Elbow	Khuỷu tay
Deadly	Chết người
Muslim	Hồi giáo
Hispanic	Người Hispanic
Allegation	Cáo buộc
Tip	Tiền boa
Confuse	Nhầm lẫn
Airplane	Máy bay
Monthly	Hàng tháng
Duck	Con vịt
Dose	Liều
Korean	Hàn Quốc
Plead	Biện hộ
Initiate	Bắt đầu
Lecture	Bài học
Van	Van
Sixth	Thứ sáu
Bay	Bay
Mainstream	Dòng chính
Suburb	Ngoại ô
Sandwich	Sandwich
Unlike	Không giống
Trunk	Thân cây
Rumor	Tin đồn
Implementation	Thực hiện
Swallow	Nuốt
Motivate	động viên
Render	Render
Longtime	Thời gian dài
Trap	Bẩy
Restrict	Giới hạn
Cloth	Vải
Seemingly	Có vẻ
Legislative	Lập pháp
Effectiveness	Hiệu quả
Enforce	Thi hành
Lens	ống kính
Reach	Chạm tới
Inspector	Thanh tra
Lend	Cho vay
Plain	Trơn
Fraud	Gian lận
Companion	đồng hành
Contend	đấu tranh
Nail	Móng tay
Array	Mảng
Strict	Nghiêm khắc
Assemble	Tập hợp
Frankly	Thẳng thắn
Rat	Con chuột
Burst	Nổ
Hallway	Hành lang
Cave	Hang
Inevitable	Chắc chắn xảy ra
Southwest	Tây nam
Monster	Quái vật
Speed	Tốc độ
Protest	Phản đối
Unexpected	Bất ngờ
Obstacle	Trở ngại
Facilitate	Tạo điều kiện
Encounter	Gặp gỡ
Rip	Yên nghỉ
Herb	Thảo mộc
Overwhelming	áp đảo
Integration	Hội nhập
Crystal	Pha lê
Recession	Suy thoái kinh tế
Wish	Muốn
Top	Hàng đầu
Written	Bằng văn bản
Motive	động cơ
Label	Nhãn
Flood	Lũ
Pen	Cây bút
Ownership	Sở hữu
Nightmare	ác mộng
Notice	để ý
Inspection	Kiểm tra
Supervisor	Người giám sát
Consult	Tham khảo ý kiến
Arena	đấu trường
Laugh	Cười
Diagnosis	Chẩn đoán
Possession	Chiếm hữu
Forgive	Tha lỗi
Warm	ấm áp
Consistently	Nhất quán
Basement	Tầng hầm
Project	Dự án
Drift	Trôi dạt
Drain	Ráo nước
Last	Cuối cùng
Prosecution	Truy tố
Maximum	Tối đa
Announcement	Thông báo
Warrior	Chiến binh
Prediction	Dự đoán
Bacteria	Vi khuẩn
Questionnaire	Bảng câu hỏi
Mud	Bùn
Infrastructure	Cơ sở hạ tầng
Hurry	Vội
Privilege	đặc quyền
Temple	Ngôi đền
Medium	Trung bình
Outdoor	Ngoài trời
Suck	Hút
And/or	Và / hoặc
Broadcast	Phát sóng
Re	Lại
Leap	Nhảy vọt
Random	Ngẫu nhiên
Past	Quá khứ
Wrist	Cổ tay
Curtain	Tấm màn
Monitor	Giám sát
Pond	Ao
Domain	Miền
Guilt	Tội lỗi
Cattle	Gia súc
Subject	Môn học
Walking	đi dạo
Playoff	Playoff
Minimum	Tối thiểu
Fiscal	Tài chính
Skirt	Váy
Dump	đổ
Hence	Vì thế
Database	Cơ sở dữ liệu
Uncomfortable	Khó chịu
Aim	Mục đích
Execute	Thi hành
Limb	Chân tay
Ideology	Hệ tư tưởng
Average	Trung bình cộng
Welcome	Chào mừng
Tune	điều chỉnh
Continuing	Tiếp tục
Harm	Làm hại
Railroad	đường sắt
Endure	Chịu đựng
Radiation	Sự bức xạ
Horn	Sừng
Chronic	Mãn tính
Peaceful	Bình yên
Innovation	đổi mới
Strain	Sự căng thẳng, quá tải
Guitar	đàn ghi ta
Replacement	Thay thế
Behave	Hành xử
Administer	Quản lý
Simultaneously	đồng thời
Dancer	Vũ công
Amendment	Sửa đổi
Guard	Bảo vệ
Pad	Tập giấy
Transmission	Truyền tải
Await	Chờ đợi
Retired	Nghỉ hưu
Trigger	Cò súng
Spill	Tràn
Grateful	Tri ân
Grace	ân sủng
Virtual	ảo
Response	Phản ứng
Colony	Thuộc địa
Adoption	Nhận con nuôi
Slide	Trượt
Indigenous	Bản địa
Closed	đóng
Convict	Tù nhân
Civilian	Dân thường
Towel	Khăn tắm
Modify	Sửa đổi
Particle	Hạt
Award	Giải thưởng
Glance	Nháy mắt
Prize	Giải thưởng
Landing	đổ bộ
Conduct	Hạnh kiểm
Blue	Màu xanh da trời
Boost	Tăng
Bat	Gậy
Alarm	Báo thức
Festival	Lễ hội
Grip	Nắm chặt
Weird	Kỳ dị
Undermine	Phá hoại
Freshman	Sinh viên năm nhất
Sweat	Mồ hôi
Outer	Bên ngoài
European	Châu Âu
Drunk	Say
Survey	Khảo sát
Research	Nghiên cứu
Separation	Tách biệt
Traditionally	Theo truyền thống
Stuff	đồ đạc
Govern	Quản lý
Southeast	Đông Nam
Intelligent	Thông minh
Wherever	ở đâu
Ballot	Phiếu
Rhetoric	Hùng biện
Convinced	Thuyết phục
Driving	điều khiển
Vitamin	Vitamin
Enthusiasm	Hăng hái
Accommodate	Chứa
Praise	Ca ngợi
Injure	Làm bị thương
Wilderness	Hoang dã
Nearby	Gần đó
Endless	Bất tận
Mandate	ủy nhiệm
Pause	Tạm ngừng
Excuse	Tha
Respectively	Tương ứng
Uncertainty	Tính không chắc chắn
Chaos	Hỗn loạn
Short	Ngắn
Mechanical	Cơ khí
Canvas	Tranh sơn dầu
Forty	Bốn mươi
Matter	Vấn đề
Lobby	Sảnh đợi
Profound	Thâm thúy
Format	định dạng
Trait	đặc điểm
Currency	Tiền tệ
Turkey	Gà tây
Reserve	Dự trữ
Beam	Chùm tia
Abuse	Lạm dụng
Astronomer	Nhà thiên văn học
Corruption	Tham nhũng
Contractor	Nhà thầu
Apologize	Xin lỗi
Doctrine	Học thuyết
Genuine	Chính hãng
Thumb	Ngón tay cái
Unity	Thống nhất
Compromise	Thỏa hiệp
Horrible	Kinh khủng
Behavioral	Hành vi
Exclusive	độc quyền
Scatter	Tiêu tan
Commonly	Thông thường
Convey	Chuyên chở
Rush	Vội vã
Twist	Xoắn
Complexity	Phức tạp
Fork	Cái nĩa
Disk	đĩa
Relieve	Giải tỏa
Suspicion	Nghi ngờ
Lock	Khóa
Finish	Hoàn thành
Residence	Nơi cư trú
Shame	Xấu hổ
Meaningful	Có ý nghĩa
Sidewalk	đường đi bộ
Olympics	Thế vận hội
Technological	Công nghệ
Signature	Chữ ký
Pleasant	Dễ chịu
Wow	Wow
Suspend	đình chỉ
Rebel	Nổi loạn
Frozen	đông lạnh
Desire	Khao khát
Spouse	Vợ / chồng
Fluid	Chất lỏng
Pension	Lương hưu
Resume	Tiếp tục
Theoretical	Lý thuyết
Sodium	Natri
Blow	Thổi
Promotion	Quảng cáo
Delicate	Tinh tế
Forehead	Trán
Rebuild	Xây dựng lại
Bounce	Tung lên
Electrical	điện
Hook	Cái móc
Detective	Thám tử
Traveler	Du khách
Click	Nhấp chuột
Compensation	đền bù
Signal	Tín hiệu
Exit	Lối thoát
Attraction	Sức hút
Dedicate	Dâng hiến
Altogether	Hoàn toàn
Pickup	Nhặt lên
Carve	Khắc chạm
Needle	Cây kim
Belly	Bụng
Ship	Tàu
Scare	Sợ hãi
Portfolio	Danh mục đầu tư
Shuttle	đưa đón
Invisible	Vô hình
Timing	Thời gian
Engagement	Hôn ước
Ankle	Mắt cá
Transaction	Giao dịch
